Олай,1
бала,1
негіздерінен,2
тәрбиелеуі,1
керек,2
Бүгінгі,1
қажет,1
шәкірттерімен,1
тағдырына,1
мұғалім,1
білсем,1
тиіс,1
шеберлікті,1
күнің,1
кіші,1
білім,3
демекші,1
үнемі,1
ғылым,2
сырлы,1
беріп,1
ететін,1
кеңістігіне,1
екіншіден,1
етуді,1
барлық,1
жан-жақты,1
тарихында,1
экономика,1
үлкен,1
мамандық,2
еңбегі,1
..,1
Білімсіз,1
ұстаздың,1
нағыз,1
білімділікті,1
шығуға,1
оқу,1
ерекше,1
мен,1
біріншіден,1
",",17
адамға,1
қарым-қатынаста,1
мектеп,1
бол,2
Ол,1
беруге,1
қатаң,1
қоғамы,1
сүруге,1
Әсіресе,1
.,5
яғни,1
жоқ,2
мәлімет,1
жағдайында,1
ішінде,1
дүниежүзілік,1
оның,1
қана,1
дейтінім,1
Оқусыз,1
Өмірдегі,1
үйренсем,1
маман,1
ғана,1
ұстаздық,1
мойнына,1
шәкіртжандылықты,1
болып,1
бәсеке,1
деген,1
арманы,1
болса,1
басшылық,1
ақпарат,1
мейірімділікті,1
қоймай,1
жинақталған,1
оны,1
ұстаз,1
та,1
шәкіртіне,1
–,1
алған,1
өмір,1
адамзат,1
...,2
жасындағы,1
көп,1
икемділікті,1
мамандықтардың,1
-,1
